지점,지점명,일시,기온(°C),풍속(m/s),습도(%),일사(MJ/m2),전운량(10분위),지면온도(°C)
112,인천,2018-01-26 22:00,-13.6,4,45,,,-9.9
112,인천,2018-01-26 23:00,-14,4.1,40,,,-10.1
112,인천,2018-01-27 0:00,-14,3.6,44,,1,-10.3
112,인천,2018-01-27 1:00,-14.1,2.8,47,,,-10.4
112,인천,2018-01-27 2:00,-14,3.1,46,,,-10.5
112,인천,2018-01-27 3:00,-14.1,2.7,48,,1,-10.5
112,인천,2018-01-27 4:00,-14.3,1.8,52,,3,-10.5
112,인천,2018-01-27 5:00,-13.9,2.4,48,,3,-10.5
112,인천,2018-01-27 6:00,-13.9,2.4,50,,1,-10.5
112,인천,2018-01-27 7:00,-14.1,2.1,45,,0,-10.7
112,인천,2018-01-27 8:00,-14.2,1.5,48,0,0,-10.6
112,인천,2018-01-27 9:00,-12.6,0.9,42,0.21,0,-8.9
112,인천,2018-01-27 10:00,-11.7,1.6,39,0.55,0,-5.2
112,인천,2018-01-27 11:00,-10.3,1.9,38,0.87,0,-1.9
112,인천,2018-01-27 12:00,-9.2,2.9,43,1.11,0,0.2
112,인천,2018-01-27 13:00,-7.9,3.1,31,1.25,1,1
112,인천,2018-01-27 14:00,-6.9,3.5,27,1.22,0,1.2
112,인천,2018-01-27 15:00,-6.3,3.6,34,1.06,2,0.5
112,인천,2018-01-27 16:00,-6,2.8,33,0.8,4,0.1
112,인천,2018-01-27 17:00,-5.5,1.3,38,0.43,0,-0.6
112,인천,2018-01-27 18:00,-7.2,2.4,52,0.07,1,-3.7
112,인천,2018-01-27 19:00,-7.6,1.8,56,,,-5.2
112,인천,2018-01-27 20:00,-7.9,1.2,56,,,-6
112,인천,2018-01-27 21:00,-7.6,1.9,54,,7,-6.2
112,인천,2018-01-27 22:00,-7.3,1.8,49,,,-5.8
112,인천,2018-01-27 23:00,-7.1,2.5,53,,,-5.5
112,인천,2018-01-28 0:00,-7,2.4,50,,10,-5.6
112,인천,2018-01-28 1:00,-7,2.2,48,,,-5.7
112,인천,2018-01-28 2:00,-7,2.1,49,,,-5.4
112,인천,2018-01-28 3:00,-6.8,1.8,50,,10,-5.1
112,인천,2018-01-28 4:00,-6.7,2,50,,10,-5.1
112,인천,2018-01-28 5:00,-6.7,1.3,44,,10,-5.2
112,인천,2018-01-28 6:00,-7.1,1.8,39,,3,-6.2
112,인천,2018-01-28 7:00,-7.5,2.2,43,,3,-6.9
112,인천,2018-01-28 8:00,-7.6,1.6,48,0,1,-6.8
112,인천,2018-01-28 9:00,-6.6,0.8,41,0.17,1,-5.2
112,인천,2018-01-28 10:00,-5.3,1.6,32,0.51,0,-2.1
112,인천,2018-01-28 11:00,-4,2,29,0.84,0,0.1
112,인천,2018-01-28 12:00,-3.4,2.9,27,1.07,0,1.7
112,인천,2018-01-28 13:00,-2.5,3.7,26,1.15,0,2.3
112,인천,2018-01-28 14:00,-2.1,5.3,28,1.08,3,1.7
112,인천,2018-01-28 15:00,-2.5,3.8,29,0.8,4,0.9
112,인천,2018-01-28 16:00,-3.2,6,35,0.6,4,-0.5
112,인천,2018-01-28 17:00,-3.9,7,41,0.24,8,-0.9
112,인천,2018-01-28 18:00,-4.7,6,44,0.06,7,-2.8
112,인천,2018-01-28 19:00,-5.6,5.6,43,,,-4.5
112,인천,2018-01-28 20:00,-6.4,6,40,,,-5.7
112,인천,2018-01-28 21:00,-6.9,5,48,,7,-6
112,인천,2018-01-28 22:00,-7.2,4.7,48,,,-6.7
112,인천,2018-01-28 23:00,-7.9,3.8,51,,,-7.2
112,인천,2018-01-29 0:00,-8.2,3.1,52,,0,-7.5
112,인천,2018-01-29 1:00,-8.7,2.6,53,,,-7.8
112,인천,2018-01-29 2:00,-8.7,3.7,52,,,-8.1
112,인천,2018-01-29 3:00,-8.5,5.8,49,,0,-8.3
112,인천,2018-01-29 4:00,-8.6,4.8,50,,0,-8.4
112,인천,2018-01-29 5:00,-8.8,5.9,40,,0,-8.7
112,인천,2018-01-29 6:00,-9.6,2.8,42,,0,-9
112,인천,2018-01-29 7:00,-9.8,3.5,39,,3,-9
112,인천,2018-01-29 8:00,-10,4,39,0,2,-9
112,인천,2018-01-29 9:00,-9.4,4.2,37,0.18,1,-7.4
112,인천,2018-01-29 10:00,-9,7,31,0.55,1,-4.5
112,인천,2018-01-29 11:00,-8.1,5,30,0.9,0,-1.2
112,인천,2018-01-29 12:00,-7.4,5.6,32,1.14,0,0.2
112,인천,2018-01-29 13:00,-6.6,6,33,1.27,0,1.3
112,인천,2018-01-29 14:00,-6,5.6,35,1.23,1,1.9
112,인천,2018-01-29 15:00,-5.9,5.8,36,1.09,1,1.3
112,인천,2018-01-29 16:00,-5.8,6.5,41,0.78,1,-0.3
112,인천,2018-01-29 17:00,-5.6,3.3,41,0.42,1,-1.5
112,인천,2018-01-29 18:00,-6.2,4.5,48,0.09,1,-4.2
112,인천,2018-01-29 19:00,-6.5,3.6,55,,,-5.4
112,인천,2018-01-29 20:00,-6.5,5,58,,,-6
112,인천,2018-01-29 21:00,-7.2,6.5,50,,0,-6.7
112,인천,2018-01-29 22:00,-8.2,4.5,50,,,-7.4
112,인천,2018-01-29 23:00,-8.8,3.5,48,,,-7.9
112,인천,2018-01-30 0:00,-9.2,3.3,48,,0,-8.2
112,인천,2018-01-30 1:00,-9.4,3,48,,,-8.4
112,인천,2018-01-30 2:00,-9.2,2.4,46,,,-8.6
112,인천,2018-01-30 3:00,-9.7,0.6,48,,0,-8.9
112,인천,2018-01-30 4:00,-9.8,1.1,49,,0,-9.1
112,인천,2018-01-30 5:00,-8.8,2,57,,0,-9
112,인천,2018-01-30 6:00,-9,0.9,53,,0,-9.1
112,인천,2018-01-30 7:00,-9.2,0.7,51,,0,-9.4
112,인천,2018-01-30 8:00,-9,0.1,41,0.01,0,-9.2
112,인천,2018-01-30 9:00,-6.8,1.4,50,0.19,7,-6.8
112,인천,2018-01-30 10:00,-4.9,2.6,44,0.5,4,-2.2
112,인천,2018-01-30 11:00,-3.6,2.4,44,0.74,8,0.1
112,인천,2018-01-30 12:00,-2.5,3.1,50,1,3,2.9
112,인천,2018-01-30 13:00,-2.7,4.3,58,1.09,7,2.9
112,인천,2018-01-30 14:00,-2.5,4.3,66,0.82,7,1.9
112,인천,2018-01-30 15:00,-2.7,3.2,80,0.54,9,0.8
112,인천,2018-01-30 16:00,-2,3.5,89,0.31,10,0
112,인천,2018-01-30 17:00,-1.9,2.3,94,0.06,10,-0.2
112,인천,2018-01-30 18:00,-1.4,2.7,94,0.04,10,-0.3
112,인천,2018-01-30 19:00,-1.1,3.3,93,,7,-0.3
112,인천,2018-01-30 20:00,-1.1,2.3,92,,,-0.5
112,인천,2018-01-30 21:00,-0.8,2.9,79,,6,-0.7
112,인천,2018-01-30 22:00,-0.3,4.5,72,,,-0.9
112,인천,2018-01-30 23:00,0,3.6,74,,,-1
112,인천,2018-01-31 0:00,0.4,5.2,73,,9,-1
112,인천,2018-01-31 1:00,0.5,4.3,75,,9,-1.2
112,인천,2018-01-31 2:00,0,3.9,74,,,-1.4
112,인천,2018-01-31 3:00,-0.1,3.9,74,,8,-1.6
112,인천,2018-01-31 4:00,-0.5,4,73,,8,-1.9
112,인천,2018-01-31 5:00,-1.3,5.8,73,,7,-2
112,인천,2018-01-31 6:00,-2.2,4.9,75,,8,-2.2
112,인천,2018-01-31 7:00,-2.8,3.1,73,,7,-2.5
112,인천,2018-01-31 8:00,-2.9,3.3,64,0,9,-2.6
112,인천,2018-01-31 9:00,-2.7,3.8,50,0.16,9,-2.3
112,인천,2018-01-31 10:00,-2.3,3.2,51,0.34,9,-1.5
112,인천,2018-01-31 11:00,-1.8,3,45,0.5,9,-0.8
112,인천,2018-01-31 12:00,-1.4,2.4,42,0.59,9,-0.4
112,인천,2018-01-31 13:00,-1.2,2.5,43,0.54,9,-0.3
112,인천,2018-01-31 14:00,-1.1,2.4,41,0.54,10,-0.2
112,인천,2018-01-31 15:00,-1,2.6,36,0.53,10,0.2
112,인천,2018-01-31 16:00,-0.8,3,39,0.58,10,0.8
112,인천,2018-01-31 17:00,-1.3,3.4,37,0.26,10,-0.4
112,인천,2018-01-31 18:00,-1.8,3.6,51,0.05,9,-1.2
112,인천,2018-01-31 19:00,-2.3,2.3,54,,,-2.2
112,인천,2018-01-31 20:00,-2.5,2,56,,,-3
112,인천,2018-01-31 21:00,-2.9,2,59,,6,-3.7
112,인천,2018-01-31 22:00,-3.3,2.1,47,,,-4.5
112,인천,2018-01-31 23:00,-3.2,1.6,51,,,-4.7
112,인천,2018-02-01 0:00,-3.6,1.9,60,,0,-5.2
112,인천,2018-02-01 1:00,-4.3,3.5,80,,,-5.5
112,인천,2018-02-01 2:00,-5.3,2.8,63,,,-6
112,인천,2018-02-01 3:00,-6.1,3.5,53,,0,-6.6
112,인천,2018-02-01 4:00,-6.6,3.4,52,,0,-6.9
112,인천,2018-02-01 5:00,-6.8,4.1,54,,0,-7.2
112,인천,2018-02-01 6:00,-7.4,3.8,55,,0,-7.5
112,인천,2018-02-01 7:00,-7.7,3.4,56,,0,-7.7
112,인천,2018-02-01 8:00,-7.6,1.3,55,0.01,0,-7.8
112,인천,2018-02-01 9:00,-5.9,3.2,48,0.23,0,-5.9
112,인천,2018-02-01 10:00,-4.5,3.2,44,0.63,0,-1.2
112,인천,2018-02-01 11:00,-3.7,2.7,45,0.95,0,1
112,인천,2018-02-01 12:00,-2.4,2.2,41,1.21,0,4
112,인천,2018-02-01 13:00,-1.1,2.7,30,1.31,0,5.2
112,인천,2018-02-01 14:00,-0.7,3,30,1.29,0,4.9
112,인천,2018-02-01 15:00,0.1,2.9,33,1.12,0,4.1
112,인천,2018-02-01 16:00,-0.1,3.4,31,0.85,0,2.2
112,인천,2018-02-01 17:00,-0.4,3.5,36,0.47,0,-0.3
112,인천,2018-02-01 18:00,-1.6,3.3,45,0.1,0,-0.7
112,인천,2018-02-01 19:00,-2.5,4.7,56,,,-1.4
112,인천,2018-02-01 20:00,-2.9,3.1,59,,,-2.1
112,인천,2018-02-01 21:00,-3,2.2,61,,0,-3
112,인천,2018-02-01 22:00,-3.1,3,65,,,-3.9
112,인천,2018-02-01 23:00,-3.3,3,65,,,-4.5
112,인천,2018-02-02 0:00,-3.7,3,50,,0,-5.1
112,인천,2018-02-02 1:00,-4.4,2.7,49,,,-5.6
112,인천,2018-02-02 2:00,-4.4,1.9,47,,,-6
112,인천,2018-02-02 3:00,-4.7,3,47,,0,-6.3
112,인천,2018-02-02 4:00,-5,2.7,59,,0,-6.5
112,인천,2018-02-02 5:00,-5.4,3.2,49,,4,-6.8
112,인천,2018-02-02 6:00,-5.8,3.5,50,,5,-6.9
112,인천,2018-02-02 7:00,-6,2.8,51,,7,-7.1
112,인천,2018-02-02 8:00,-6.1,2.1,48,0.01,7,-6.9
112,인천,2018-02-02 9:00,-5.3,1.2,48,0.18,2,-5.3
112,인천,2018-02-02 10:00,-3.5,1.4,42,0.58,0,-1
112,인천,2018-02-02 11:00,-2.3,1.2,40,0.91,0,0.4
112,인천,2018-02-02 12:00,-1,2.8,38,1.12,0,2.5
112,인천,2018-02-02 13:00,-0.1,2.4,35,1.24,0,5
112,인천,2018-02-02 14:00,0.8,3.2,30,1.2,0,5.8
112,인천,2018-02-02 15:00,1.3,3,35,1.02,0,4.6
112,인천,2018-02-02 16:00,2,1.7,40,0.69,0,2.5
112,인천,2018-02-02 17:00,0.6,2.9,49,0.35,0,-0.2
112,인천,2018-02-02 18:00,-0.7,2.9,60,0.08,0,-1.3
112,인천,2018-02-02 19:00,-1.4,2.6,58,,,-2
112,인천,2018-02-02 20:00,-1.2,3,66,,,-2.4
112,인천,2018-02-02 21:00,-1.8,1.1,62,,0,-3.2
112,인천,2018-02-02 22:00,-1.6,2.3,73,,,-2.7
112,인천,2018-02-02 23:00,-1.2,4.6,80,,,-2.6
112,인천,2018-02-03 0:00,-2.4,4.9,85,,7,-3.1
112,인천,2018-02-03 1:00,-3.2,6.6,91,,7,-3.1
112,인천,2018-02-03 2:00,-4,5.6,92,,10,-3.4
112,인천,2018-02-03 3:00,-5.1,5.9,73,,10,-4
112,인천,2018-02-03 4:00,-6.4,6.1,64,,9,-5.2
112,인천,2018-02-03 5:00,-7.2,7.2,60,,0,-6.7
112,인천,2018-02-03 6:00,-7.7,6.9,59,,0,-7.5
112,인천,2018-02-03 7:00,-8.5,6.1,54,,0,-8.2
112,인천,2018-02-03 8:00,-8.7,7.4,52,0.01,0,-8.5
112,인천,2018-02-03 9:00,-8.5,5.3,52,0.25,0,-6.5
112,인천,2018-02-03 10:00,-7.9,5.9,47,0.67,0,-2.4
112,인천,2018-02-03 11:00,-7.7,5.6,47,1.01,0,0.8
112,인천,2018-02-03 12:00,-7.1,5.8,45,1.25,0,2.9
112,인천,2018-02-03 13:00,-6.7,5.5,44,1.36,0,4.4
112,인천,2018-02-03 14:00,-6.1,7,46,1.36,2,4.7
112,인천,2018-02-03 15:00,-5.6,7.1,42,1.19,1,4.3
112,인천,2018-02-03 16:00,-5.4,6,44,0.88,1,2.9
112,인천,2018-02-03 17:00,-5.7,5.3,47,0.52,0,-2.2
112,인천,2018-02-03 18:00,-6.7,6.2,51,0.12,1,-5.2
112,인천,2018-02-03 19:00,-7.3,6.4,48,,,-6.8
112,인천,2018-02-03 20:00,-7.9,7.2,43,,,-8
112,인천,2018-02-03 21:00,-8.6,7.4,43,,0,-8.8
112,인천,2018-02-03 22:00,-9.1,4.8,52,,,-9.3
112,인천,2018-02-03 23:00,-9.1,6,48,,,-9.6
112,인천,2018-02-04 0:00,-8.9,5.5,48,,0,-9.6
112,인천,2018-02-04 1:00,-8.9,6.1,47,,,-9.8
112,인천,2018-02-04 2:00,-9.2,5.6,49,,,-10.1
112,인천,2018-02-04 3:00,-9.7,5.9,51,,0,-10.4
112,인천,2018-02-04 4:00,-10.1,5.8,50,,0,-10.8
112,인천,2018-02-04 5:00,-10.5,4.8,60,,1,-11
112,인천,2018-02-04 6:00,-11.1,4.9,61,,0,-11.5
112,인천,2018-02-04 7:00,-11.5,5.2,57,,0,-11.8
112,인천,2018-02-04 8:00,-11.7,4.4,57,0.01,0,-11.6
112,인천,2018-02-04 9:00,-11.3,3.8,57,0.23,0,-8.8
112,인천,2018-02-04 10:00,-10.5,3.7,51,0.6,0,-2.4
112,인천,2018-02-04 11:00,-9.7,2.3,48,0.96,0,2.3
112,인천,2018-02-04 12:00,-8.8,3.7,44,1.23,0,4.4
112,인천,2018-02-04 13:00,-7.7,3.7,44,1.35,0,6.4
112,인천,2018-02-04 14:00,-7.5,4.4,46,1.33,1,6.1
112,인천,2018-02-04 15:00,-6.9,6.2,41,1.18,0,4.3
112,인천,2018-02-04 16:00,-6.3,5.6,38,0.88,0,2.3
112,인천,2018-02-04 17:00,-5.9,5.4,39,0.51,1,-2.6
112,인천,2018-02-04 18:00,-6.5,5,40,0.14,1,-6
112,인천,2018-02-04 19:00,-7,5.5,34,0,,-7.5
112,인천,2018-02-04 20:00,-7.5,7.6,37,,,-8.3
112,인천,2018-02-04 21:00,-8,6,44,,0,-8.9
112,인천,2018-02-04 22:00,-8.7,6.6,49,,,-9.5
112,인천,2018-02-04 23:00,-9,5.6,52,,,-9.9
112,인천,2018-02-05 0:00,-8.9,5.5,50,,0,-10
112,인천,2018-02-05 1:00,-8.9,5.4,49,,,-10.2
112,인천,2018-02-05 2:00,-9.2,3.5,51,,,-10.6
112,인천,2018-02-05 3:00,-9.2,4.8,49,,0,-10.6
112,인천,2018-02-05 4:00,-9.3,4.4,47,,0,-10.8
112,인천,2018-02-05 5:00,-9.6,3.6,53,,0,-11
112,인천,2018-02-05 6:00,-9.7,4.1,50,,0,-11.1
112,인천,2018-02-05 7:00,-9.9,5.1,43,,0,-11.2
112,인천,2018-02-05 8:00,-10,5.6,42,0.01,0,-11
112,인천,2018-02-05 9:00,-9.7,6.1,40,0.27,0,-7.9
112,인천,2018-02-05 10:00,-9.3,7.4,34,0.67,0,-2.5
112,인천,2018-02-05 11:00,-8.7,5.7,35,1.03,0,2.2
112,인천,2018-02-05 12:00,-8,5.2,37,1.27,0,5.2
112,인천,2018-02-05 13:00,-7.2,5.6,36,1.38,0,6.6
112,인천,2018-02-05 14:00,-6.5,5.1,37,1.35,0,6.6
112,인천,2018-02-05 15:00,-6.4,5.8,40,1.19,1,4.1
112,인천,2018-02-05 16:00,-6.5,7,36,0.86,1,-0.3
112,인천,2018-02-05 17:00,-6.8,6.1,38,0.52,1,-3.4
112,인천,2018-02-05 18:00,-7.5,7,41,0.13,1,-6.2
112,인천,2018-02-05 19:00,-8,6.8,36,0,,-7.6
112,인천,2018-02-05 20:00,-8.8,7.7,42,,,-8.4
112,인천,2018-02-05 21:00,-9.4,7.4,47,,0,-9
112,인천,2018-02-05 22:00,-9.4,5.7,51,,,-9.3
112,인천,2018-02-05 23:00,-9.3,6.5,46,,,-9.5
112,인천,2018-02-06 0:00,-9.5,6,43,,0,-9.8
112,인천,2018-02-06 1:00,-9.9,6.1,39,,,-10.2
112,인천,2018-02-06 2:00,-10.3,5.8,40,,,-10.5
112,인천,2018-02-06 3:00,-10.8,5.3,40,,0,-10.9
112,인천,2018-02-06 4:00,-11.1,6.1,41,,0,-11.1
112,인천,2018-02-06 5:00,-11.2,6.2,44,,0,-11.2
112,인천,2018-02-06 6:00,-11.3,6.3,48,,0,-11.4
112,인천,2018-02-06 7:00,-11.6,5.7,48,,0,-11.6
112,인천,2018-02-06 8:00,-11.8,5.5,49,0.01,0,-11.4
112,인천,2018-02-06 9:00,-11.5,6,48,0.27,0,-9
112,인천,2018-02-06 10:00,-10.7,5.6,43,0.67,0,-3.6
112,인천,2018-02-06 11:00,-9.5,4.4,45,1.02,0,0.2
112,인천,2018-02-06 12:00,-8.9,5.3,41,1.26,0,2.6
112,인천,2018-02-06 13:00,-8.3,6.1,37,1.39,0,3.5
112,인천,2018-02-06 14:00,-7.4,4.5,37,1.35,0,4
112,인천,2018-02-06 15:00,-6.8,5.3,38,1.17,1,3.2
112,인천,2018-02-06 16:00,-6.9,5.6,37,0.9,1,0.6
112,인천,2018-02-06 17:00,-7,5.1,38,0.53,1,-4
112,인천,2018-02-06 18:00,-8,4.5,42,0.13,0,-7.4
112,인천,2018-02-06 19:00,-8.5,6.4,46,0,,-8.4
112,인천,2018-02-06 20:00,-9.2,6.7,44,,,-9.4
112,인천,2018-02-06 21:00,-10.2,6.8,44,,0,-10.3
112,인천,2018-02-06 22:00,-10.5,5.2,48,,,-10.7
112,인천,2018-02-06 23:00,-10.6,4.4,49,,,-11
112,인천,2018-02-07 0:00,-10.6,3.8,49,,0,-11.3
112,인천,2018-02-07 1:00,-10.4,4,47,,,-11.4
112,인천,2018-02-07 2:00,-10.5,3,47,,,-11.6
112,인천,2018-02-07 3:00,-10.5,2.7,46,,0,-11.7
112,인천,2018-02-07 4:00,-10.6,2.4,45,,0,-12
112,인천,2018-02-07 5:00,-10.9,2.1,48,,0,-12.2
112,인천,2018-02-07 6:00,-11,1.3,46,,0,-12.6
112,인천,2018-02-07 7:00,-11.8,0,47,,0,-13.1
112,인천,2018-02-07 8:00,-11.8,0.7,50,0.01,2,-12.5
112,인천,2018-02-07 9:00,-8.9,0.9,45,0.25,3,-7.7
112,인천,2018-02-07 10:00,-8.1,1.4,40,0.59,6,-2.1
112,인천,2018-02-07 11:00,-7.6,1.6,37,0.78,7,0.8
112,인천,2018-02-07 12:00,-6.2,1.5,35,0.97,6,5
112,인천,2018-02-07 13:00,-5.4,3.3,35,1.39,6,7.4
112,인천,2018-02-07 14:00,-4.3,1.9,34,1.29,4,8.6
112,인천,2018-02-07 15:00,-3.1,2,38,1.17,1,7.3
112,인천,2018-02-07 16:00,-3.1,2.5,45,0.89,1,4
112,인천,2018-02-07 17:00,-3.7,2.6,45,0.52,0,-2.2
112,인천,2018-02-07 18:00,-5,2.8,48,0.14,2,-4.4
112,인천,2018-02-07 19:00,-5.8,1.7,59,0,,-5.9
112,인천,2018-02-07 20:00,-6.2,1.9,61,,,-6.7
112,인천,2018-02-07 21:00,-6.2,2.1,65,,0,-7.4
112,인천,2018-02-07 22:00,-5.9,2.8,68,,,-7.2
112,인천,2018-02-07 23:00,-6.1,1.3,69,,,-7
112,인천,2018-02-08 0:00,-6.3,1,73,,0,-8.4
112,인천,2018-02-08 1:00,-6.6,0.1,71,,,-9.3
112,인천,2018-02-08 2:00,-6.9,1.3,70,,,-9.5
112,인천,2018-02-08 3:00,-7,2,69,,0,-9.5
112,인천,2018-02-08 4:00,-7.3,0.7,67,,0,-9.8
112,인천,2018-02-08 5:00,-7.1,1.1,78,,0,-9.5
112,인천,2018-02-08 6:00,-7.3,0.3,84,,0,-10.1
112,인천,2018-02-08 7:00,-7.5,1.3,73,,0,-10.1
112,인천,2018-02-08 8:00,-7.9,1.1,78,0.01,0,-9.6
112,인천,2018-02-08 9:00,-7.3,1.1,74,0.25,0,-6.3
112,인천,2018-02-08 10:00,-5.6,1.2,67,0.6,0,-1.2
112,인천,2018-02-08 11:00,-4.3,1.7,65,0.89,0,3
112,인천,2018-02-08 12:00,-3,1.7,47,1.13,0,6.5
112,인천,2018-02-08 13:00,-1.9,2.7,49,1.25,0,9.2
112,인천,2018-02-08 14:00,-1.7,2.9,46,1.26,0,9.3
112,인천,2018-02-08 15:00,-1,2.1,41,1.11,0,8.4
112,인천,2018-02-08 16:00,-0.6,2.3,47,0.84,0,4.8
112,인천,2018-02-08 17:00,-0.6,1.2,50,0.47,0,-1
112,인천,2018-02-08 18:00,-2.2,2.2,56,0.11,4,-2.9
112,인천,2018-02-08 19:00,-3,1.9,57,0,,-3.6
112,인천,2018-02-08 20:00,-3,1.9,49,,,-4.2
112,인천,2018-02-08 21:00,-3.5,1.6,49,,0,-5.8
112,인천,2018-02-08 22:00,-3.5,1.6,45,,,-6.6
112,인천,2018-02-08 23:00,-3.4,1.7,47,,,-7
112,인천,2018-02-09 0:00,-3.7,2.3,75,,0,-6.3
112,인천,2018-02-09 1:00,-3.8,1.7,54,,,-7
112,인천,2018-02-09 2:00,-4.5,2.6,58,,,-6.4
112,인천,2018-02-09 3:00,-4.3,2.1,55,,9,-4.7
112,인천,2018-02-09 4:00,-3.1,2.6,47,,9,-4.3
112,인천,2018-02-09 5:00,-2.7,2.2,45,,9,-4.5
112,인천,2018-02-09 6:00,-2.8,1.3,47,,9,-4.1
112,인천,2018-02-09 7:00,-4,1.8,65,,9,-4
112,인천,2018-02-09 8:00,-3.5,1.8,60,0.01,9,-4.3
112,인천,2018-02-09 9:00,-1.9,1.4,47,0.11,9,-1.8
112,인천,2018-02-09 10:00,-2.4,1.1,63,0.18,9,-0.7
